Elapsed Time (s),Long accel (g),Lat accel (g),Vert accel (g),Roll--Euler (deg),Pitch--Euler (deg),Yaw--Euler (deg),Latitude,Longitude,Speed (kts),Course (deg),GPS Time,Flagged
2.501,0.1631552,0.152958,0.4187596,-13.19442442,13.20606392,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.146Z,N
2.554,0.1835496,0.101972,0.4799428,-13.0694849,11.7172432,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.200Z,N
2.601,0.2447328,0.101972,0.4697456,-12.60831394,11.64726109,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.246Z,N
2.651,0.2651272,0.152958,-0.1114948,-12.43624697,9.916796817,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.296Z,N
2.719,0.2243384,-0.0101972,0.082252,-10.262068,10.02266304,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.364Z,N
2.756,0.25493,0.0203944,-0.376622,-8.183217982,10.64196056,243.5408936,50.14786631,-5.057801843,2.61050054,319.8358336,2021-11-17T13:20:23.401Z,N
2.801,0.356902,0.0305916,-0.0503116,-5.887987573,11.71415169,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.446Z,N
2.854,0.0407888,-0.1733524,-0.4072136,-5.609394832,10.02408628,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.499Z,N
2.903,0.1937468,-0.0611832,-0.0299172,-4.673681976,9.4769352,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.548Z,N
2.953,0.203944,0.0101972,0.1434352,-4.484657773,9.101526662,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.598Z,N
3.006,0.1937468,0,0.4187596,-3.950545949,8.83735373,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.651Z,N
3.053,0.1121692,-0.0713804,0.3983652,-4.872624894,10.04413374,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.698Z,N
3.101,0.3467048,0.1427608,0.3575764,-6.447176009,11.85159217,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.746Z,N
3.156,0.3161132,0.1325636,0.1536324,-8.717826275,14.17924378,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.801Z,N
3.223,0.2447328,0.152958,-0.1930724,-10.2175087,14.40070412,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.868Z,N
3.26,0.1937468,0.0917748,-0.223664,-11.12714987,13.3352467,245.7875671,50.14786418,-5.057811806,2.643883178,319.8104576,2021-11-17T13:20:23.905Z,N
3.304,0.3161132,0.2957188,-0.4174108,-10.95673921,11.41896287,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:23.949Z,N
3.358,0.203944,0.2855216,-0.3868192,-11.25246164,11.73060391,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.003Z,N
3.401,0.203944,0.356902,-0.3460304,-11.44603262,12.85742204,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.046Z,N
3.453,0.407888,0.4180852,0.0618576,-12.32273435,15.81737926,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.099Z,N
3.501,0.3263104,0.1937468,-0.121692,-13.40834339,16.48227768,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.146Z,N
3.557,0.356902,0.0305916,0.3269848,-13.54579582,15.92364334,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.202Z,N
3.601,0.4384796,-0.0611832,0.2658016,-12.78689692,14.27312387,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.246Z,N
3.658,0.5200572,-0.0407888,0.6227036,-11.28176742,13.28601641,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.303Z,N
3.719,0.2447328,-0.152958,0.3269848,-10.62489789,14.20465208,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.364Z,N
3.757,0.2447328,-0.0101972,0.6125064,-8.795720313,18.07421717,239.4355621,50.14786251,-5.057820722,2.643883178,319.8104576,2021-11-17T13:20:24.402Z,N
3.801,0.4894656,0.0305916,-0.1930724,-8.0916149,20.01407626,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.446Z,N
3.856,0.560846,0.3976908,-0.6111576,-9.521740387,22.39236689,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.501Z,N
3.901,0.0407888,0,-0.8558904,-8.76582799,20.26174404,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.546Z,N
3.956,0.152958,0.2447328,0.2963932,-8.184055534,18.4413091,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.601Z,N
4.001,0,0.356902,0.847042,-10.74576577,15.57123973,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.646Z,N
4.056,0.0611832,0.3670992,0.6634924,-14.63583851,10.58104551,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.701Z,N
4.102,0.0407888,0.3467048,0.4085624,-16.36368681,7.995802715,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.747Z,N
4.151,0.0611832,0.407888,0.5615204,-17.87341303,8.873142214,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.796Z,N
4.222,0.2753244,1.5601716,-1.396342,-20.4399727,8.839289235,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.867Z,N
4.251,-0.1733524,-0.458874,-1.3759476,-19.68956202,7.445921266,245.7333984,50.14786138,-5.057824886,2.785652864,315.1751392,2021-11-17T13:20:24.896Z,N
4.301,0.8565648,0.203944,0.337182,-21.2508186,9.773473836,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:24.946Z,N
4.351,0.2651272,-0.50986,0.23521,-21.85428801,8.903577536,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:24.996Z,N
4.401,0.4180852,-0.0713804,0.6023092,-21.90103382,8.916285957,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.046Z,N
4.451,-0.0101972,-0.203944,1.0917748,-22.01750221,14.75766005,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.096Z,N
4.501,0.3467048,-1.0401144,0.694084,-24.71643777,17.4124965,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.146Z,N
4.551,0.611832,0.101972,0.1026464,-15.9194479,12.27975367,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.196Z,N
4.601,0.3161132,1.0605088,-3.384796,-17.59843132,9.280582631,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.246Z,N
4.651,-0.2345356,0.7036068,-1.6206804,-13.08674393,12.50064284,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.297Z,N
