Latitude,Longitude,Course (deg),GPS Time
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.403Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.453Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.504Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.557Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.605Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.660Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.708Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.760Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.809Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.859Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.911Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:52.961Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.014Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.064Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.115Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.165Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.215Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.266Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.316Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.366Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.417Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.468Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.524Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.571Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.621Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.672Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.724Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.772Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.823Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.873Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.924Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:53.977Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.028Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.078Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.128Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.178Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.228Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.278Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.328Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.380Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.429Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.479Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.529Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.580Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.631Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.681Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.732Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.782Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.832Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.883Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.933Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:54.984Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.035Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.086Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.136Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.186Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.236Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.286Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.336Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.387Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.437Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.487Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.542Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.591Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.646Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.693Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.743Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.794Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.846Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.896Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.946Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:55.996Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.047Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.098Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.151Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.202Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.254Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.304Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.354Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.404Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.457Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.505Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.555Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.606Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.658Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.709Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.760Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.810Z
